id,name,followers,popularity,genres,main_genre
4y9J1Y45HWhRSlEdROVbR1,Shane Hendrix,443,1,[],Pop
2StukZYqvy5IZmVestMrWo,Madge,25076,43,['hyperpop'],Electronic
20ldWECcOHmOWwKwAwvn4y,Gillette,26606,46,['eurodance'],Electronic
0JbqyQSsMK7TavqlR0yNON,Bobbi Humphrey,75601,37,"['jazz funk', 'jazz fusion', 'soul jazz']",Jazz
4BWn7qje7L2bGp79bupn3B,Red Cafe,135217,36,[],Hip-Hop
0fDF0jjmdouCIeWhNnblwV,Buckethead,473780,50,[],Electronic
4Leu6MJW98gMmTNeud0MVY,Brian Britsol,0,0,[],Electronic
2K1O0aI3XbUIWdkq7Rbjge,Bad Acid Trip,2515,9,"['grindcore', 'mathcore', 'avant-garde']",Rock
7Jr7XgWFnKQ3mUgbhrVNlx,Tiger Lou,13013,23,['swedish pop'],Pop
3XNzNhtPVJapvcYZdHPDDV,The Academy Of Ancient Music Chorus,731,24,"['baroque', 'choral', 'opera']",Classical
0MPbAeGQj0YatrUMdY2KEr,Andrew Manze,8707,44,"['baroque', 'classical', 'concerto', 'chamber music']",Classical
1MC2vryRnvuYkv7WYGvQoU,Stampin' Ground,5731,17,"['groove metal', 'hardcore', 'metalcore', 'hardcore punk']",Rock
4GamZjZFOQyMp7LNx81GwZ,Paul Goodwin,1325,42,"['baroque', 'classical']",Classical
60adCptqwRkANTtVja0bvf,Academy of Ancient Music,43284,60,"['baroque', 'classical', 'concerto', 'choral', 'opera']",Classical
45ff9QmiC1LkmDPk5TBN21,John Tavener,22083,42,"['minimalism', 'choral', 'contemporary classical']",Classical
7kAKqNxPBkfjgdHzUIdBtI,Suburban Kids With Biblical Names,4864,9,"['swedish pop', 'jangle pop']",Pop
5X8ysJ0faXdvuEGpGzj4i8,George Mosley,54,14,"['choral', 'minimalism', 'contemporary classical']",Classical
1R0VPGuEZqJWWpkZTyTTMB,DENIAL OF GOD,6323,11,['black metal'],Rock
1AC6rw8sH8VGrzMzgFUDG5,AMARIA BB,81766,54,"['dancehall', 'afroswing', 'uk r&b', 'afro r&b']",R&B
6XMDTpG4mtZWvDlFjRF3XT,Kill Your Idols,18896,25,"['hardcore punk', 'hardcore', 'melodic hardcore', 'punk']",Rock
4mGXknIZtImmEXjSQfGGQp,Collections Of Colonies Of Bees,5701,10,"['math rock', 'post-rock']",Rock
7I1fdJzerHqIlcx7M72khy,Merciful Nuns,13282,18,"['gothic rock', 'deathrock', 'darkwave', 'post-punk', 'cold wave', 'gothic metal']",Rock
76NpRNEWMaNdOudixwOPRo,Yours Truly,95023,43,['pop punk'],Pop
39vA9YljbnOApXKniLWBZv,Sylvan Esso,589198,46,[],Rock
1hHdmyTykcEu4m9EgrAc4l,The Banner,8759,15,"['hardcore', 'mathcore', 'metalcore', 'hardcore punk']",Rock
604SIyQJ7kt1BUikmaNQAN,Luigi Denza,2512,36,"['canzone napoletana', 'opera', 'classical crossover']",Classical
7jDblfQQLFAZCKXFfoGZ9Q,Jay Worthy,69698,53,"['g-funk', 'west coast hip hop']",Hip-Hop
7CHLInjLAogg9gWto1jvYB,Tito Beltrán,1001,10,['opera'],Classical
5kH0RaF5aKY6ygf9UjehCq,Orchestra della RCA Italiana,0,0,['canzone napoletana'],Classical
1O9iHQjrVuiAYOJFCBeFSl,serpentwithfeet,161562,59,['alternative r&b'],Pop
4aKFcoj4sJdQ9GLSMKKfL5,Ministry Of Funk,12424,46,"['funky house', 'disco house', 'nu disco']",Electronic
1TRbgw8i6GCulyKsoT0Z2u,Idris Goodwin,96,0,[],Electronic
65d2Cw70rLuVwEZwQpHtFW,LNDN DRGS,41831,46,['g-funk'],Hip-Hop
2ZgCfuNND0DEGo3sxQFUOq,Roommate,1545,11,"['dub', 'dubstep', 'ragga']",Electronic
0ELXBCSsRl2m92MgnOsA69,Alison Limerick,19855,47,"['acid house', 'chicago house']",Jazz
7annN9f55ztCx3qc8p8qsZ,Franco Ferrara,164,10,[],Classical
41QVz3Am9zs9dPX4Aaxbct,Malente,3045,26,['acid jazz'],Jazz
5qG9HBDiVg6ONHTPl4MGnq,Jazzy Nice,167,18,['jazz house'],Jazz
0UbkL4O5WmWWH8RZOweBZK,X-Clan,83156,27,"['east coast hip hop', 'old school hip hop']",Hip-Hop
0J070zmjt8tj8GLKbXEWrQ,Azeem,141,12,[],Jazz
5ZJQWu95i72nZXLD8VC5ys,Spyro,633065,51,"['afrobeats', 'afrobeat', 'afropop', 'afro adura', 'afropiano', 'hiplife', 'bongo flava']",Hip-Hop
46PWlvjKg5zNakteW1CJkG,Marion Meadows,60441,44,"['smooth jazz', 'jazz', 'cool jazz']",Jazz
5dORjaew9A94A25xvTMiTg,Dyke & The Blazers,17372,34,['funk'],R&B
6CiruHXr2TFLIyCrrXhykK,Three Times Dope,44298,22,['old school hip hop'],Hip-Hop
